ID,experiment,age_group_participants,condition_information,gender_participants,age_participants,response,Hesitation_time,notes
172,2,0,1,1,3.91666666666667,0, , 
173,2,0,1,1,4,1,8, 
174,2,0,1,1,3.41666666666667,1,2, 
175,2,0,1,1,3.33333333333333,1,2, 
176,2,0,1,1,3.58333333333333,1,6, 
177,2,0,1,1,3.83333333333333,1,1, 
178,2,0,1,1,3.75,1,3, 
179,2,0,1,1,4.08333333333333,0, , 
180,2,0,1,1,3.91666666666667,0, , 
181,2,1,0,0,5.75,0, , 
182,2,1,0,0,6.33333333333333,0, , 
183,2,1,0,0,6.33333333333333,0, , 
184,2,1,0,0,6,1,40, 
185,2,1,0,0,6.25,0, , 
186,2,1,0,0,5.08333333333333,0, , 
187,2,1,0,0,5.5,1,18, 
188,2,1,0,0,6,0, , 
189,2,1,0,0,6.08333333333333,0, , 
190,2,1,0,0,5.16666666666667,1,3, 
191,2,1,0,0,5.91666666666667,0, , 
192,2,1,0,0,6,1,2, 
193,2,1,0,0,5.58333333333333,1,3, 
194,2,1,0,0,5.33333333333333,0, , 
195,2,1,0,0,5.75,1,3, 
196,2,1,0,0,5.91666666666667,0, , 
197,2,1,0,1,5.75,0, , 
198,2,1,0,1,6.25,1,5, 
199,2,1,0,1,6,1,4, 
200,2,1,0,1,5.91666666666667,0, , 
201,2,1,0,1,6.25,0, , 
202,2,1,0,1,5.58333333333333,0, , 
203,2,1,0,1,5.91666666666667,1,3, 
204,2,1,0,1,5.58333333333333,1,10, 
205,2,1,0,1,5.16666666666667,0, , 
206,2,1,0,1,5.33333333333333,0, , 
207,2,1,0,1,5.16666666666667,1,7, 
208,2,1,0,1,5.25,0, , 
209,2,1,0,1,5.83333333333333,0, , 
210,2,1,0,1,5.91666666666667,1,16, 
211,2,1,1,0,6.08333333333333,1,19, 
212,2,1,1,0,5.75,0, , 
213,2,1,1,0,5.33333333333333,0, , 
214,2,1,1,0,5.25,1,6, 
215,2,1,1,0,5.66666666666667,1,8, 
216,2,1,1,0,5.16666666666667,1,4, 
217,2,1,1,0,5.16666666666667,1,13, 
218,2,1,1,0,6,0, , 
219,2,1,1,0,5.58333333333333,0, , 
220,2,1,1,0,5.83333333333333,0, , 
221,2,1,1,0,5.5,0, , 
222,2,1,1,0,6.16666666666667,0, , 
223,2,1,1,0,6.16666666666667,1,11, 
224,2,1,1,0,6.08333333333333,0, , 
225,2,1,1,0,6,0, , 
226,2,1,1,1,6.08333333333333,1,18, 
227,2,1,1,1,6.16666666666667,1,6, 
228,2,1,1,1,6,1,9, 
229,2,1,1,1,6.08333333333333,0, , 
230,2,1,1,1,6.25,0, , 
231,2,1,1,1,5.08333333333333,1,3, 
232,2,1,1,1,5.25,0, , 
233,2,1,1,1,6,0, , 
234,2,1,1,1,5.5,0, , 
235,2,1,1,1,5.25,1,1, 
236,2,1,1,1,5.75,0, , 
237,2,1,1,1,5.16666666666667,1,10, 
238,2,1,1,1,5.75,1,14, 
239,2,1,1,1,5.16666666666667,1,7, 
240,2,1,1,1,6,1,2, 
241,2,0,0,0,4,0, ,participant is tested by mistake
242,2,1,0,1,6.16666666666667,1,7,participant is tested by mistake
247,2,0, ,0,4.333333333, , ,participant do not want to be left alone
248,2,0, ,0,4.166666667, , ,participant do not want to be left alone
249,2,0, ,1,4.083333333, , ,participant do not want to be left alone
250,2,0, ,1,3.666666667, , ,participant do not want to be left alone
251,2,1, ,0,6.083333333, , ,participant do not want to be left alone
252,2,1, ,1,6, , ,participant do not want to be left alone
253,2,1, ,1,5.833333333, , ,participant do not want to be left alone
254,2,1, ,1,6.083333333, , ,participant do not want to be left alone
